PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_Size
1,0,3,1,-0.5657364610748746,1,0,-0.5024451714361923,2,0.059159876663617696
2,1,1,0,0.6638610320657843,1,0,0.7868452935884461,0,0.059159876663617696
3,1,3,0,-0.2583370877897099,0,0,-0.4888542575852486,2,-0.5609748304808925
4,1,1,0,0.4333115021019107,1,0,0.4207302360686478,2,0.059159876663617696
5,0,3,1,0.4333115021019107,0,0,-0.4863374216869257,2,-0.5609748304808925
6,0,3,1,-0.10463740114712752,0,0,-0.47811642890864375,1,-0.5609748304808925
7,0,1,1,1.893458525206443,0,0,0.395813560675251,2,-0.5609748304808925
8,0,3,1,-2.1027333275006983,3,1,-0.22408312108167944,2,1.9195639980971482
9,1,3,0,-0.1814872444684187,0,2,-0.4242561406845337,2,0.6792945838081278
10,1,2,0,-1.180535207645204,1,0,-0.04295550208861426,0,0.059159876663617696
11,1,3,0,-1.949033640858116,1,1,-0.312172377522981,2,0.6792945838081278
12,1,1,0,2.200857898491608,0,0,-0.11384570873513637,2,-0.5609748304808925
13,0,3,1,-0.719436147717457,0,0,-0.4863374216869257,2,-0.5609748304808925
14,0,3,1,0.7407108753870755,1,5,-0.01870931177853076,2,3.1598334123861687
15,0,3,0,-1.180535207645204,0,0,-0.4902797934380587,2,-0.5609748304808925
16,1,2,0,1.9703083685277343,0,0,-0.3262666585535892,2,-0.5609748304808925
17,0,3,1,-2.1027333275006983,4,1,-0.06199888922968463,1,2.5396987052416584
18,1,2,1,-0.10463740114712752,0,0,-0.3866707201133388,2,-0.5609748304808925
19,0,3,0,0.12591212881674602,1,0,-0.2859972841804228,2,0.059159876663617696
20,1,3,0,-0.10463740114712752,0,0,-0.5029485386158568,0,-0.5609748304808925
21,0,2,1,0.4333115021019107,0,0,-0.12491978668775715,2,-0.5609748304808925
22,1,2,1,0.35646165878061953,0,0,-0.3866707201133388,2,-0.5609748304808925
23,1,3,0,-1.1036853643239128,0,0,-0.4867562231804066,1,-0.5609748304808925
24,1,1,1,-0.10463740114712752,0,0,0.06635974158478332,2,-0.5609748304808925
25,0,3,0,-1.6416342675729512,3,1,-0.22408312108167944,2,1.9195639980971482
26,1,3,0,0.6638610320657843,1,5,-0.016444159470040135,2,3.1598334123861687
27,0,3,1,-0.10463740114712752,0,0,-0.5029485386158568,0,-0.5609748304808925
28,0,1,1,-0.7962859910387481,3,2,4.647001076532463,2,2.5396987052416584
29,1,3,0,-0.10463740114712752,0,0,-0.48977642625839407,1,-0.5609748304808925
30,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,2,-0.5609748304808925
31,0,1,1,0.8175607187083667,0,0,-0.09027201697708476,0,-0.5609748304808925
32,1,1,0,-0.10463740114712752,1,0,2.301728820789,0,0.059159876663617696
33,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
34,0,2,1,2.8156566450619374,0,0,-0.43700743807979686,2,-0.5609748304808925
35,0,1,1,-0.10463740114712752,1,0,1.0060617003323709,0,0.059159876663617696
36,0,1,1,0.9712604053509489,1,0,0.39858208016340624,2,0.059159876663617696
37,1,3,1,-0.10463740114712752,0,0,-0.5028639729296732,0,-0.5609748304808925
38,0,3,1,-0.6425863043961658,0,0,-0.4863374216869257,2,-0.5609748304808925
39,0,3,0,-0.8731358343600393,2,0,-0.2859972841804228,2,0.6792945838081278
40,1,3,0,-1.180535207645204,1,0,-0.42207354059350805,0,0.059159876663617696
41,0,3,0,0.8175607187083667,1,0,-0.4576454924460446,2,0.059159876663617696
42,0,2,0,-0.1814872444684187,1,0,-0.22559322262067316,2,0.059159876663617696
43,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,0,-0.5609748304808925
44,1,2,0,-2.025883484179407,1,2,0.18876253192945994,0,1.299429290952638
45,1,3,0,-0.7962859910387481,0,0,-0.48977642625839407,1,-0.5609748304808925
46,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,2,-0.5609748304808925
47,0,3,1,-0.10463740114712752,1,0,-0.3363340021468808,1,0.059159876663617696
48,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
49,0,3,1,-0.10463740114712752,2,0,-0.21191774308354583,0,0.6792945838081278
50,0,3,0,-0.8731358343600393,1,0,-0.29002422161773944,2,0.059159876663617696
51,0,3,1,-1.7184841108942424,4,1,0.1506737441786005,2,2.5396987052416584
52,0,3,1,-0.6425863043961658,0,0,-0.4913710934835715,2,-0.5609748304808925
53,1,1,0,1.5092093085999871,1,0,0.8964967865378598,0,0.059159876663617696
54,1,2,0,-0.027787557825836348,1,0,-0.12491978668775715,2,0.059159876663617696
55,0,1,1,2.738806801740646,0,1,0.5995101505357573,0,0.059159876663617696
56,1,1,1,-0.10463740114712752,0,0,0.06635974158478332,2,-0.5609748304808925
57,1,2,0,-0.6425863043961658,0,0,-0.43700743807979686,2,-0.5609748304808925
58,0,3,1,-0.06621247948648194,0,0,-0.5028639729296732,0,-0.5609748304808925
59,1,2,0,-1.8721837975368247,1,2,-0.08968408411123653,2,1.299429290952638
60,0,3,1,-1.4110847376090776,5,2,0.2958951755118318,2,3.779968119530679
61,0,3,1,-0.5657364610748746,0,0,-0.5028639729296732,0,-0.5609748304808925
62,1,1,0,0.6638610320657843,0,0,0.962353321387736,2,-0.5609748304808925
63,0,1,1,1.2018099353148226,1,0,1.0323213593611125,2,0.059159876663617696
